air temp.       dew point          water_vapor_pressure     saturated_water_vapor_pressure   relative_humidity
Ta(deg.C)      Td(deg.C)                      P_v (hPa)                           P_s(hPa)               RH(%)
      19.0      14.0                               16.0                               22.0                72.8
      22.1      16.4                               18.7                               26.6                70.1
      18.8      17.8                               20.4                               21.7                93.9
      24.0      18.0                               20.6                               29.8                69.2
      25.2      25.0                               31.7                               32.1                98.8
      30.3      26.5                               34.6                               43.2                80.2
       3.7     -22.1                                0.8                                8.0                10.6
       2.5      -2.3                                5.0                                7.3                69.0
      -3.3     -13.8                                1.8                                4.6                39.7
      -0.5      -2.3                                5.0                                5.9                86.1
