 No.     Lat_D     Lat_M     Lat_S     Lon_D     Lon_M     Lon_S     H (m)
   1    25.000     9.000     2.000   121.000    46.000    36.000     5.000
   2    25.000     7.000     7.000   121.000    50.000    56.000   587.000
   3    25.000     9.000    23.000   121.000    46.000    56.000     2.000
   4    25.000     9.000    40.000   121.000    47.000    19.000     2.000
   5    25.000     8.000     0.000   121.000    45.000     1.000    83.000
   6    25.000     9.000    50.000   121.000    45.000    13.000     1.000
   7    25.000     8.000    39.000   121.000    46.000    53.000   163.000
   8    25.000    12.000    55.000   121.000    41.000    59.000    29.000
   9    25.000     8.000    46.000   121.000    48.000    20.000    21.000
  10    25.000     7.000    44.000   121.000    55.000    24.000    20.000
